11	146
16	16
14
0	1	1	2	1	1	1	2	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	5	6	7	8	9	10	11	12	13	14	15	16	17	
18	0	1	19	20	21	1	22	23	19	23	1	1	1	1	1	1	24	25	26	1	1	1	1	1	1	1	1	1	24	25	26	1	1	1	1	1	24	25	26	1	24	25	26	1	1	1	1	1	19	23	19	23	1	1	24	25	26	1	27	28	24	25	26	1	19	20	21	2	21	1	22	20	21	1	1	1	27	28	24	25	26	1	1	1	1	29	30	25	26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24	26	1	1	1	24	25	26	1	1	1	1	24	26	1	1	1	1	1	24	25	26	31	5	6	31	32	9	33	34	35	36	37	38	39	40	
18	41	1	42	43	44	45	46	45	46	45	1	1	1	1	1	1	47	47	48	47	1	49	50	47	48	49	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	42	45	46	45	1	1	1	1	1	1	51	52	1	1	1	1	42	43	44	43	44	45	46	43	44	45	1	1	51	52	1	1	1	1	1	1	1	53	54	1	1	1	1	1	1	1	1	55	56	56	56	1	1	1	1	1	47	47	48	49	50	47	1	1	47	47	1	47	48	49	50	1	1	1	1	1	1	1	1	1	1	1	1	57	5	6	58	59	60	61	62	63	64	65	66	67	68	
69	70	1	46	71	72	73	46	73	46	73	1	24	26	1	1	49	74	75	75	75	76	74	77	75	75	74	77	50	1	1	1	1	1	24	26	1	1	1	1	1	1	1	1	1	1	1	1	1	46	73	78	79	1	1	1	1	1	1	1	1	1	1	1	1	46	71	72	71	72	73	46	71	72	73	1	24	26	1	1	1	1	1	1	1	1	1	1	1	1	24	26	1	1	1	1	80	81	81	82	1	24	25	26	49	74	75	75	74	77	75	50	49	74	75	76	75	75	74	77	50	1	1	24	25	26	1	1	1	1	1	1	83	84	85	86	87	88	89	90	91	92	93	94	95	95	
96	70	1	46	97	71	98	46	98	46	98	1	1	1	1	99	100	101	100	101	100	101	101	102	100	101	101	102	100	103	1	1	1	1	1	47	47	48	49	104	105	48	49	106	107	48	1	1	1	46	98	108	109	1	1	1	55	56	56	56	56	56	56	56	1	46	97	71	97	71	98	46	97	71	98	1	1	1	1	1	55	56	1	1	55	56	56	56	56	56	1	1	1	1	55	56	80	81	81	82	1	1	1	99	100	101	100	101	101	102	100	101	101	102	100	101	100	101	101	102	100	103	1	1	1	47	47	48	1	48	49	50	110	111	112	113	114	115	116	117	118	119	120	95	95	95	
96	121	122	123	124	125	126	125	126	125	127	128	122	123	123	129	130	129	130	129	131	132	124	130	130	129	133	130	130	129	127	123	127	128	99	101	134	100	101	135	136	100	101	137	138	100	103	1	122	123	126	125	127	128	1	1	80	81	81	81	81	81	81	82	122	123	124	125	124	125	126	125	124	125	127	139	140	123	127	128	80	82	1	1	80	81	81	81	81	82	1	1	1	1	80	82	80	81	81	82	122	123	123	129	130	129	130	141	142	130	130	129	124	130	130	129	130	129	124	130	130	129	127	128	99	101	100	100	143	100	101	101	144	145	146	147	148	149	150	151	152	153	154	155	95	95	
156	157	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	159	160	158	158	158	158	161	162	158	158	158	158	158	158	158	163	164	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	55	165	80	81	81	81	81	81	81	82	158	158	158	158	158	158	158	158	158	158	158	159	160	158	158	158	166	167	158	158	80	81	81	81	81	82	158	158	55	56	166	167	80	81	81	82	158	158	158	158	158	158	158	168	169	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	170	171	172	173	174	175	176	172	177	178	179	180	95	95	
181	157	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	80	82	80	81	81	81	81	81	81	82	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	80	82	182	182	80	81	81	81	81	82	182	182	80	82	80	82	80	81	81	82	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	95	95	95	95	95	95	95	95	95	95	95	95	95	95	
183	184	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	186	182	182	55	56	182	182	55	56	182	182	55	56	182	182	55	165	182	182	55	56	166	167	80	81	81	81	81	81	81	82	182	182	182	182	55	56	56	56	182	182	187	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	186	166	167	166	167	80	81	81	82	182	182	182	182	55	182	182	182	55	182	182	182	55	182	182	182	187	185	185	185	185	185	185	185	185	185	185	185	185	185	185	185	188	189	190	191	192	193	194	195	196	95	95	95	95	95	
184	184	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	198	182	182	199	200	182	182	199	200	182	182	199	200	182	182	199	200	182	182	199	200	199	200	199	201	201	201	201	201	201	200	182	182	182	182	199	201	199	200	182	182	202	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	198	199	200	199	200	199	201	201	200	182	182	182	182	203	182	182	182	203	182	182	182	203	182	182	182	202	197	197	197	197	197	197	197	197	197	197	197	197	197	197	197	204	205	206	207	208	209	210	211	212	95	95	95	95	95	
213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	214	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	182	214	213	213	213	213	213	213	213	213	213	213	213	213	213	213	213	95	95	95	95	95	95	95	95	95	95	95	95	95	95	
